
     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
         2  16 -1.858203E+06 -3.525490E+06  3.279095E+06 -5.345551E+05 -2.057413E+05  2.043919E+06
         2  17 -1.642187E+06 -3.454389E+06  5.110530E+06  1.849154E+05 -2.645579E+05  1.653313E+06
         2  18 -1.398873E+06 -3.358820E+06  7.008490E+06  9.173987E+05 -3.762177E+05  8.405947E+05
         2  19  5.657635E+05 -1.171923E+05  3.821266E+07  9.884171E+04 -1.763512E+05 -3.478659E+05
         2  20 -2.003041E+05 -5.919023E+05  3.863251E+07  1.069485E+04  6.736437E+05  2.017356E+04
         2  21 -9.322719E+05 -1.037535E+06  3.913695E+07 -5.435962E+04  1.460716E+06 -3.843416E+04
         2  22  3.321821E+05  1.509432E+05  2.156377E+07  1.649351E+05 -2.163732E+05  7.730927E+05
         2  23 -1.113630E+05 -9.711967E+04  2.263191E+07  8.258931E+04  3.394811E+05  1.164054E+06
         2  24 -5.250314E+05 -3.203280E+05  2.377479E+07  2.333596E+04  8.374525E+05  1.127820E+06
         2  25  3.711040E+05  6.749574E+05  5.495302E+06  2.061832E+05 -2.408356E+05  2.341697E+06
         2  26  2.394643E+05  6.429248E+05  7.186966E+06  1.296385E+05  2.269221E+04  2.750158E+06
         2  27  1.334784E+05  6.315237E+05  8.943511E+06  7.618631E+04  2.333769E+05  2.730875E+06
         3   1 -2.503288E+06 -1.556471E+06 -9.375514E+06 -4.038925E+05 -9.893001E+05 -1.098201E+06
         3   2 -1.677082E+06 -8.088833E+05 -7.102546E+06 -6.689483E+04 -5.552958E+05  1.961306E+05
         3   3 -8.798182E+05 -8.959985E+04 -4.897748E+06  2.671697E+05 -1.741347E+05  1.073980E+06
         3   4 -8.856622E+06 -8.560120E+06 -2.857086E+07 -4.424957E+05 -2.873396E+06  1.930103E+05
         3   5 -7.832340E+06 -7.602279E+06 -2.582247E+07 -1.062349E+05 -1.533996E+06  1.376877E+06
         3   6 -6.841224E+06 -6.676964E+06 -2.315210E+07  2.270928E+05 -2.524785E+05  2.144809E+06
         3   7 -1.543583E+07 -1.578753E+07 -4.828620E+07 -4.779432E+05 -4.709992E+06  1.921022E+06
         3   8 -1.422409E+07 -1.463005E+07 -4.508716E+07 -1.424192E+05 -2.467010E+06  2.999846E+06
         3   9 -1.304973E+07 -1.350932E+07 -4.197600E+07  1.901717E+05 -2.869508E+05  3.663283E+06
         3  10  1.398873E+06  3.358820E+06 -7.008490E+06 -9.173987E+05 -3.762177E+05  8.405947E+05
         3  11  1.642187E+06  3.454389E+06 -5.110530E+06 -1.849154E+05 -2.645579E+05  1.653313E+06
         3  12  1.858203E+06  3.525490E+06 -3.279095E+06  5.345551E+05 -2.057413E+05  2.043919E+06
         3  13  6.189482E+05  1.218988E+06 -2.313574E+07 -9.881393E+05 -8.603159E+05  6.846727E+05
         3  14  8.074587E+05  1.313779E+06 -2.130690E+07 -2.589250E+05 -4.396016E+05  1.450634E+06
         3  15  9.644482E+05  1.379880E+06 -1.955444E+07  4.572765E+05 -7.677013E+04  1.795032E+06
         3  16 -3.995477E+05 -1.150048E+06 -3.978842E+07 -1.044879E+06 -1.311070E+06  9.655514E+05
         3  17 -2.764573E+05 -1.066650E+06 -3.805348E+07 -3.189341E+05 -5.831156E+05  1.690179E+06
         3  18 -1.891109E+05 -1.016165E+06 -3.640477E+07  3.939984E+05  8.191646E+04  1.993790E+06
         3  19 -1.334784E+05 -6.315237E+05 -8.943511E+06 -7.618631E+04  2.333769E+05  2.730875E+06
         3  20 -2.394643E+05 -6.429248E+05 -7.186966E+06 -1.296385E+05  2.269221E+04  2.750158E+06
         3  21 -3.711040E+05 -6.749574E+05 -5.495302E+06 -2.061832E+05 -2.408356E+05  2.341697E+06
