
     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
         3  22  5.250314E+05  3.203280E+05 -2.377479E+07 -2.333596E+04  8.374525E+05  1.127820E+06
         3  23  1.113630E+05  9.711967E+04 -2.263191E+07 -8.258931E+04  3.394811E+05  1.164054E+06
         3  24 -3.321821E+05 -1.509432E+05 -2.156377E+07 -1.649351E+05 -2.163732E+05  7.730927E+05
         3  25  9.322719E+05  1.037535E+06 -3.913695E+07  5.435962E+04  1.460716E+06 -3.843416E+04
         3  26  2.003041E+05  5.919023E+05 -3.863251E+07 -1.069485E+04  6.736437E+05  2.017356E+04
         3  27 -5.657635E+05  1.171923E+05 -3.821266E+07 -9.884171E+04 -1.763512E+05 -3.478659E+05
         4   1 -8.823730E+05  1.119376E+05 -3.892436E+06 -2.123305E+05 -7.016215E+04  1.062089E+06
         4   2 -1.740390E+05  7.552425E+05 -1.924928E+06  1.213005E+05  7.291994E+04  1.428133E+05
         4   3  5.613671E+05  1.426764E+06  1.046054E+05  4.586737E+05  1.664966E+05 -1.193816E+06
         4   4 -6.835089E+06 -6.465256E+06 -2.211966E+07 -2.486162E+05  2.137143E+05  2.072961E+06
         4   5 -6.277995E+06 -5.988515E+06 -2.052215E+07  8.442913E+04  1.255543E+06  1.057844E+06
         4   6 -5.700625E+06 -5.490352E+06 -1.887848E+07  4.212168E+05  2.254296E+06 -3.736439E+05
         4   7 -1.303490E+07 -1.328723E+07 -4.091571E+07 -2.888212E+05  5.490830E+05  3.531098E+06
         4   8 -1.261717E+07 -1.296517E+07 -3.966050E+07  4.363856E+04  2.487668E+06  2.413404E+06
         4   9 -1.218596E+07 -1.262849E+07 -3.837497E+07  3.798406E+05  4.389609E+06  8.803234E+05
         4  10  1.090367E+06  3.188269E+06 -2.606028E+06 -4.248324E+05 -2.625173E+05  2.050413E+06
         4  11  1.365906E+06  3.322426E+06 -7.139280E+05  2.957982E+05 -1.444578E+05  1.679344E+06
         4  12  1.671466E+06  3.491681E+06  1.243146E+06  1.033031E+06 -7.590379E+04  8.818615E+05
         4  13  1.894008E+05  1.035852E+06 -1.888831E+07 -5.122546E+05 -3.043776E+05  1.781296E+06
         4  14  5.243715E+05  1.161461E+06 -1.693345E+07  2.057781E+05  1.150454E+05  1.387201E+06
         4  15  8.825680E+05  1.315372E+06 -1.492946E+07  9.404132E+05  4.913931E+05  5.676743E+05
         4  16 -9.725857E+05 -1.367312E+06 -3.574540E+07 -6.170643E+05 -2.789095E+05  1.959444E+06
         4  17 -5.663058E+05 -1.238374E+06 -3.370006E+07  9.837037E+04  4.398878E+05  1.535587E+06
         4  18 -1.435957E+05 -1.087930E+06 -3.162145E+07  8.304075E+05  1.122040E+06  6.872826E+05
         4  19 -2.245082E+05 -6.068388E+05 -4.367336E+06  1.638620E+05 -2.955076E+05  2.347949E+06
         4  20 -2.108281E+05 -5.829778E+05 -2.379708E+06  9.484839E+04 -2.024707E+05  2.772907E+06
         4  21 -1.641777E+05 -5.171382E+05 -3.241577E+05  5.529755E+04 -1.589393E+05  2.762389E+06
         4  22 -1.919787E+05 -9.944437E+04 -2.046965E+07  1.392610E+05 -4.152860E+05  7.988440E+05
         4  23  9.180580E+04  7.388375E+04 -1.798649E+07  6.563703E+04 -6.182684E+05  1.273589E+06
         4  24  4.017650E+05  2.823950E+05 -1.545126E+07  2.147581E+04 -8.643260E+05  1.313843E+06
         4  25 -4.343939E+05  1.512345E+05 -3.715274E+07  8.380423E+04 -4.518998E+05 -3.029977E+05
         4  26  1.313722E+05  4.859069E+05 -3.414633E+07  5.569837E+03 -9.528906E+05  2.148017E+05
         4  27  7.165174E+05  8.489669E+05 -3.110370E+07 -4.320176E+04 -1.490527E+06  2.990921E+05
         5   1 -3.074739E+04 -7.935254E+05  2.903469E+07  4.468456E+05 -9.754132E+04  9.840139E+05
         5   2 -1.770823E+05 -1.063229E+06  3.041723E+07  2.942011E+04 -7.856824E+04  7.019089E+05
         5   3 -3.892889E+05 -1.407202E+06  3.165446E+07 -4.168259E+05 -5.177946E+04  5.805300E+05
         5   4  5.546785E+05  7.748346E+05  1.526958E+07  4.301961E+05 -9.182183E+04  1.720980E+06
         5   5  4.015787E+05  6.155701E+05  1.676891E+07  1.758465E+04 -1.239640E+05  1.502962E+06
         5   6  2.123257E+05  4.117547E+05  1.819227E+07 -4.238473E+05 -1.407569E+05  1.447178E+06
         5   7  1.174661E+06  2.359726E+06  1.525019E+06  4.433282E+05 -7.350389E+04  2.258351E+06
         5   8  9.809968E+05  2.277101E+06  3.062266E+06  3.553073E+04 -1.589252E+05  2.095840E+06
         5   9  7.808977E+05  2.179643E+06  4.592896E+06 -4.010873E+05 -2.214635E+05  2.097070E+06
         5  10 -2.620088E+05 -8.003208E+05  2.663710E+07  1.574477E+05 -1.494614E+05  4.012688E+05
         5  11 -2.675598E+05 -8.351877E+05  2.811861E+07 -6.977106E+03 -1.847075E+05  1.890299E+05
         5  12 -3.344599E+05 -9.337712E+05  2.945933E+07 -1.851552E+05 -2.121379E+05  1.771418E+05
         5  13  2.174065E+04 -1.282611E+05  1.364565E+07  1.630158E+05 -7.381382E+04  1.281650E+06
         5  14  1.023652E+04 -1.163319E+05  1.517971E+07  2.092320E+03 -1.363931E+05  1.069885E+06
         5  15 -3.289816E+04 -1.384009E+05  1.664233E+07 -1.725844E+05 -1.836230E+05  1.059979E+06
         5  16  3.249000E+05  5.538380E+05  6.682463E+05  1.812052E+05 -3.063407E+04  1.962436E+06
         5  17  2.736430E+05  5.787636E+05  2.175995E+06  2.378311E+04 -1.227104E+05  1.742566E+06
         5  18  2.204740E+05  5.994094E+05  3.681649E+06 -1.473922E+05 -1.919037E+05  1.726061E+06
         5  19  1.014113E+05  2.443158E+05  2.473334E+07 -5.163210E+04 -2.119318E+05  6.900991E+05
         5  20  1.810052E+05  3.144613E+05  2.625818E+07  5.258525E+03 -3.013972E+05  5.128148E+05
         5  21  2.037726E+05  3.314429E+05  2.764676E+07  6.346328E+04 -3.830468E+05  5.755059E+05
         5  22 -2.741356E+04 -2.745256E+04  1.246802E+07 -6.093927E+04 -1.012677E+05  1.713895E+06
         5  23  4.703894E+04  2.584577E+04  1.398117E+07 -1.859888E+03 -1.942841E+05  1.473473E+06
         5  24  9.438352E+04  5.569868E+04  1.542742E+07  5.853363E+04 -2.719511E+05  1.474533E+06
         5  25 -1.519755E+05 -2.956730E+05  2.102521E+05 -7.478524E+04 -6.813773E+04  2.538096E+06
         5  26 -1.164641E+05 -2.930216E+05  1.632863E+06 -1.351709E+04 -1.668690E+05  2.225955E+06
         5  27 -7.834204E+04 -2.840970E+05  3.057903E+06  4.906518E+04 -2.427173E+05  2.156805E+06
         6   1  1.472977E+05 -1.172255E+06  3.284696E+07  3.251259E+05 -4.702582E+05  5.788821E+05
         6   2 -2.195448E+03 -9.628558E+05  3.476246E+07 -1.299050E+05 -3.182147E+05  6.992328E+05
         6   3 -2.154750E+05 -8.216853E+05  3.653357E+07 -5.622537E+05 -1.279347E+05  9.874899E+05
         6   4  7.457094E+05  6.500311E+05  1.938421E+07  4.268472E+05 -3.412577E+05  1.448704E+06
         6   5  5.548917E+05  7.249593E+05  2.109986E+07 -2.212630E+04 -2.210864E+05  1.514070E+06
         6   6  3.229602E+05  7.543311E+05  2.272402E+07 -4.484177E+05 -6.842326E+04  1.748388E+06
         6   7  1.306765E+06  2.418404E+06  5.779117E+06  5.046773E+05 -2.586968E+05  2.101328E+06
         6   8  1.102431E+06  2.386669E+06  7.359795E+06  6.176109E+04 -1.722695E+05  2.118771E+06
         6   9  8.796551E+05  2.332050E+06  8.901885E+06 -3.584730E+05 -5.909520E+04  2.306212E+06
         6  10 -2.149642E+05 -8.832213E+05  3.039507E+07  1.480657E+05 -2.370660E+05  1.747373E+05
         6  11 -3.043786E+05 -8.522868E+05  3.202654E+07 -3.061956E+04 -1.074401E+05  1.769329E+05
         6  12 -4.544413E+05 -8.822594E+05  3.351675E+07 -1.981123E+05  6.042242E+04  3.772649E+05
         6  13  1.003678E+05 -7.864818E+04  1.758778E+07  1.716468E+05 -2.153781E+05  1.059635E+06
         6  14 -1.645399E+04 -1.170430E+05  1.910021E+07 -2.632710E+03 -1.079552E+05  1.066633E+06
         6  15 -1.712516E+05 -1.936723E+05  2.052430E+07 -1.657197E+05  3.195956E+04  1.272813E+06
         6  16  3.652411E+05  6.663961E+05  4.632520E+06  1.854596E+05 -2.030528E+05  1.727336E+06
         6  17  2.488197E+05  5.864799E+05  6.090807E+06  1.558575E+04 -1.197046E+05  1.746197E+06
         6  18  1.170951E+05  4.910018E+05  7.513645E+06 -1.430956E+05 -9.609468E+03  1.965287E+06
         6  19  1.406468E+05  3.050054E+05  2.842831E+07 -4.781276E+04 -1.950457E+05  5.749685E+05
         6  20  1.794404E+05  3.164430E+05  2.984386E+07  8.725772E+03 -8.783736E+04  5.029373E+05
         6  21  1.607236E+05  2.742955E+05  3.112130E+07  6.496728E+04  5.760755E+04  6.592726E+05
         6  22  2.897271E+04  3.018259E+04  1.621479E+07 -5.695234E+04 -2.367422E+05  1.474943E+06
         6  23  5.427597E+04  3.743290E+04  1.759213E+07  2.340247E+03 -1.420677E+05  1.467501E+06
         6  24  4.474140E+04  1.377071E+04  1.888427E+07  6.133581E+04 -1.490130E+04  1.689471E+06
         6  25 -1.462628E+05 -3.097845E+05  3.847677E+06 -6.173740E+04 -2.507242E+05  2.157720E+06
         6  26 -1.066421E+05 -2.789136E+05  5.251703E+06  3.092504E+02 -1.704552E+05  2.221928E+06
         6  27 -7.918653E+04 -2.562826E+05  6.623418E+06  6.205888E+04 -6.343916E+04  2.516595E+06
         7   1 -8.796551E+05 -2.332050E+06 -8.901885E+06  3.584730E+05 -5.909520E+04  2.306212E+06
         7   2 -1.102431E+06 -2.386669E+06 -7.359795E+06 -6.176109E+04 -1.722695E+05  2.118771E+06
         7   3 -1.306765E+06 -2.418404E+06 -5.779117E+06 -5.046773E+05 -2.586968E+05  2.101328E+06
         7   4 -3.229602E+05 -7.543311E+05 -2.272402E+07  4.484177E+05 -6.842326E+04  1.748388E+06
         7   5 -5.548917E+05 -7.249593E+05 -2.109986E+07  2.212630E+04 -2.210864E+05  1.514070E+06
         7   6 -7.457094E+05 -6.500311E+05 -1.938421E+07 -4.268472E+05 -3.412577E+05  1.448704E+06
         7   7  2.154750E+05  8.216853E+05 -3.653357E+07  5.622537E+05 -1.279347E+05  9.874899E+05
         7   8  2.195448E+03  9.628558E+05 -3.476246E+07  1.299050E+05 -3.182147E+05  6.992328E+05
         7   9 -1.472977E+05  1.172255E+06 -3.284696E+07 -3.251259E+05 -4.702582E+05  5.788821E+05
         7  10 -1.170951E+05 -4.910018E+05 -7.513645E+06  1.430956E+05 -9.609468E+03  1.965287E+06
         7  11 -2.488197E+05 -5.864799E+05 -6.090807E+06 -1.558575E+04 -1.197046E+05  1.746197E+06
         7  12 -3.652411E+05 -6.663961E+05 -4.632520E+06 -1.854596E+05 -2.030528E+05  1.727336E+06
         7  13  1.712516E+05  1.936723E+05 -2.052430E+07  1.657197E+05  3.195956E+04  1.272813E+06
         7  14  1.645399E+04  1.170430E+05 -1.910021E+07  2.632710E+03 -1.079552E+05  1.066633E+06
         7  15 -1.003678E+05  7.864818E+04 -1.758778E+07 -1.716468E+05 -2.153781E+05  1.059635E+06
         7  16  4.544413E+05  8.822594E+05 -3.351675E+07  1.981123E+05  6.042242E+04  3.772649E+05
         7  17  3.043786E+05  8.522868E+05 -3.202654E+07  3.061956E+04 -1.074401E+05  1.769329E+05
         7  18  2.149642E+05  8.832213E+05 -3.039507E+07 -1.480657E+05 -2.370660E+05  1.747373E+05
         7  19  7.918653E+04  2.562826E+05 -6.623418E+06 -6.205888E+04 -6.343916E+04  2.516595E+06
         7  20  1.066421E+05  2.789136E+05 -5.251703E+06 -3.092504E+02 -1.704552E+05  2.221928E+06
         7  21  1.462628E+05  3.097845E+05 -3.847677E+06  6.173740E+04 -2.507242E+05  2.157720E+06
         7  22 -4.474140E+04 -1.377071E+04 -1.888427E+07 -6.133581E+04 -1.490130E+04  1.689471E+06
         7  23 -5.427597E+04 -3.743290E+04 -1.759213E+07 -2.340247E+03 -1.420677E+05  1.467501E+06
         7  24 -2.897271E+04 -3.018259E+04 -1.621479E+07  5.695234E+04 -2.367422E+05  1.474943E+06
         7  25 -1.607236E+05 -2.742955E+05 -3.112130E+07 -6.496728E+04  5.760755E+04  6.592726E+05
         7  26 -1.794404E+05 -3.164430E+05 -2.984386E+07 -8.725772E+03 -8.783736E+04  5.029373E+05
         7  27 -1.406468E+05 -3.050054E+05 -2.842831E+07  4.781276E+04 -1.950457E+05  5.749685E+05
         8   1 -7.808977E+05 -2.179643E+06 -4.592896E+06  4.010873E+05 -2.214635E+05  2.097070E+06
         8   2 -9.809968E+05 -2.277101E+06 -3.062266E+06 -3.553073E+04 -1.589252E+05  2.095840E+06
         8   3 -1.174661E+06 -2.359726E+06 -1.525019E+06 -4.433282E+05 -7.350389E+04  2.258351E+06
         8   4 -2.123257E+05 -4.117547E+05 -1.819227E+07  4.238473E+05 -1.407569E+05  1.447178E+06
         8   5 -4.015787E+05 -6.155701E+05 -1.676891E+07 -1.758465E+04 -1.239640E+05  1.502962E+06
         8   6 -5.546785E+05 -7.748346E+05 -1.526958E+07 -4.301961E+05 -9.182183E+04  1.720980E+06
         8   7  3.892889E+05  1.407202E+06 -3.165446E+07  4.168259E+05 -5.177946E+04  5.805300E+05
         8   8  1.770823E+05  1.063229E+06 -3.041723E+07 -2.942011E+04 -7.856824E+04  7.019089E+05
         8   9  3.074739E+04  7.935254E+05 -2.903469E+07 -4.468456E+05 -9.754132E+04  9.840139E+05
         8  10 -2.204740E+05 -5.994094E+05 -3.681649E+06  1.473922E+05 -1.919037E+05  1.726061E+06
         8  11 -2.736430E+05 -5.787636E+05 -2.175995E+06 -2.378311E+04 -1.227104E+05  1.742566E+06
         8  12 -3.249000E+05 -5.538380E+05 -6.682463E+05 -1.812052E+05 -3.063407E+04  1.962436E+06
         8  13  3.289816E+04  1.384009E+05 -1.664233E+07  1.725844E+05 -1.836230E+05  1.059979E+06
         8  14 -1.023652E+04  1.163319E+05 -1.517971E+07 -2.092320E+03 -1.363931E+05  1.069885E+06
         8  15 -2.174065E+04  1.282611E+05 -1.364565E+07 -1.630158E+05 -7.381382E+04  1.281650E+06
         8  16  3.344599E+05  9.337712E+05 -2.945933E+07  1.851552E+05 -2.121379E+05  1.771418E+05
         8  17  2.675598E+05  8.351877E+05 -2.811861E+07  6.977106E+03 -1.847075E+05  1.890299E+05
         8  18  2.620088E+05  8.003208E+05 -2.663710E+07 -1.574477E+05 -1.494614E+05  4.012688E+05
         8  19  7.834204E+04  2.840970E+05 -3.057903E+06 -4.906518E+04 -2.427173E+05  2.156805E+06
         8  20  1.164641E+05  2.930216E+05 -1.632863E+06  1.351709E+04 -1.668690E+05  2.225955E+06
         8  21  1.519755E+05  2.956730E+05 -2.102521E+05  7.478524E+04 -6.813773E+04  2.538096E+06
         8  22 -9.438352E+04 -5.569868E+04 -1.542742E+07 -5.853363E+04 -2.719511E+05  1.474533E+06
         8  23 -4.703894E+04 -2.584577E+04 -1.398117E+07  1.859888E+03 -1.942841E+05  1.473473E+06
         8  24  2.741356E+04  2.745256E+04 -1.246802E+07  6.093927E+04 -1.012677E+05  1.713895E+06
         8  25 -2.037726E+05 -3.314429E+05 -2.764676E+07 -6.346328E+04 -3.830468E+05  5.755059E+05
         8  26 -1.810052E+05 -3.144613E+05 -2.625818E+07 -5.258525E+03 -3.013972E+05  5.128148E+05
         8  27 -1.014113E+05 -2.443158E+05 -2.473334E+07  5.163210E+04 -2.119318E+05  6.900991E+05
         9   1  5.172646E+04  3.920135E+05  2.301886E+07 -8.563737E+04 -1.842514E+05  8.155071E+05
         9   2  6.070543E+04  3.927617E+05  2.430779E+07  1.243468E+04 -2.834524E+05  6.881709E+05
         9   3  8.557251E+04  4.137345E+05  2.562946E+07  1.154060E+05 -3.766071E+05  6.762695E+05
         9   4 -5.691887E+04  4.034059E+04  1.162825E+07 -1.001426E+05 -8.816254E+04  1.625958E+06
         9   5 -4.661488E+04  1.623415E+04  1.290399E+07 -5.302587E+02 -1.780877E+05  1.440312E+06
         9   6 -2.549032E+04  7.284797E+03  1.420065E+07  1.039813E+05 -2.633402E+05  1.369173E+06
         9   7 -1.928591E+05 -3.373713E+05  1.781355E+05 -1.228383E+05 -7.005058E+04  2.405776E+06
         9   8 -1.741914E+05 -3.792936E+05  1.457115E+06 -2.168578E+04 -1.502294E+05  2.164127E+06
         9   9 -1.497707E+05 -4.111264E+05  2.745181E+06  8.436599E+04 -2.271091E+05  2.036055E+06
         9  10  4.253853E+04  1.421446E+05  2.082543E+07 -4.033390E+04 -1.415995E+05  4.043973E+05
         9  11  5.227971E+04  1.613410E+05  2.199365E+07  5.978326E+02 -2.284071E+05  2.757865E+05
         9  12  7.512353E+04  1.942626E+05  2.319183E+07  4.368164E+04 -3.091685E+05  2.558537E+05
         9  13 -1.887830E+04 -2.029551E+04  1.054933E+07 -4.114206E+04 -4.901842E+04  1.199032E+06
         9  14 -8.901944E+03 -1.232764E+04  1.171092E+07  4.139344E+02 -1.316005E+05  1.015874E+06
         9  15  9.109514E+03  4.297875E+03  1.289063E+07  4.412200E+04 -2.095100E+05  9.404660E+05
         9  16 -1.042966E+05 -2.073631E+05  2.151391E+05 -4.553001E+04 -2.502929E+04  1.963033E+06
         9  17 -8.704637E+04 -2.035851E+05  1.386510E+06 -3.349756E+03 -1.029154E+05  1.727635E+06
         9  18 -6.682857E+04 -1.962169E+05  2.564183E+06  4.098258E+04 -1.775025E+05  1.599057E+06
         9  19  5.510942E+04  2.436069E+03  1.867158E+07  1.260318E+04 -1.962330E+05  7.960350E+05
         9  20  4.874553E+04  7.237324E+02  1.970223E+07 -1.926938E+02 -2.706472E+05  6.682949E+05
         9  21  5.269881E+04  6.237159E+03  2.076004E+07 -1.358365E+04 -3.390152E+05  6.424761E+05
         9  22  5.286557E+04  3.434783E+04  9.515106E+06  1.424719E+04 -1.050143E+05  1.574853E+06
         9  23  4.564701E+04  3.503300E+04  1.054567E+07  1.159589E+03 -1.802534E+05  1.396329E+06
         9  24  4.367809E+04  3.787639E+04  1.159157E+07 -1.252309E+04 -2.508198E+05  1.318797E+06
         9  25  2.991374E+04  4.304364E+04  3.019566E+05  1.692219E+04 -7.300264E+04  2.323038E+06
         9  26  2.887921E+04  5.316501E+04  1.348852E+06  3.542876E+03 -1.485961E+05  2.096035E+06
         9  27  2.802678E+04  6.037708E+04  2.399264E+06 -1.043152E+04 -2.208905E+05  1.969096E+06
        10   1  9.649384E+03  3.800029E+05  2.635009E+07 -8.999516E+04 -1.709886E+05  6.779597E+05
        10   2  7.166412E+04  3.899806E+05  2.764715E+07  1.044541E+04 -8.587687E+04  6.859788E+05
        10   3  1.439532E+05  4.143929E+05  2.896401E+07  1.077552E+05  1.280337E+02  7.944201E+05
        10   4 -1.140735E+05 -3.289385E+04  1.491477E+07 -1.017114E+05 -2.312517E+05  1.370647E+06
        10   5 -4.408795E+04  5.860695E+03  1.623675E+07  6.672103E+02 -1.510080E+05  1.437215E+06
        10   6  3.260142E+04  5.547937E+04  1.757020E+07  9.991504E+04 -6.899555E+04  1.603362E+06
        10   7 -2.490260E+05 -4.567358E+05  3.454188E+06 -1.061555E+05 -2.387604E+05  2.037388E+06
        10   8 -1.771203E+05 -3.952552E+05  4.786972E+06 -1.838778E+03 -1.631171E+05  2.160457E+06
        10   9 -1.020814E+05 -3.264810E+05  6.122908E+06  9.934711E+04 -8.482924E+04  2.382260E+06
        10  10  2.905499E+04  1.752394E+05  2.385643E+07 -3.428715E+04 -1.376019E+05  2.568345E+05
        10  11  4.896165E+04  1.612423E+05  2.502161E+07  8.921672E+03 -4.343400E+04  2.717358E+05
        10  12  7.661044E+04  1.557714E+05  2.620408E+07  5.075105E+04  5.162709E+04  3.822985E+05
        10  13 -3.783322E+04 -1.576264E+04  1.355366E+07 -4.451516E+04 -1.853445E+05  9.415422E+05
        10  14 -1.199504E+04 -1.471758E+04  1.473553E+07 -5.208425E+02 -1.003568E+05  1.012301E+06
        10  15  1.801475E+04 -8.716784E+03  1.592635E+07  4.209404E+04 -1.360034E+04  1.177877E+06
        10  16 -1.140765E+05 -2.169066E+05  3.226442E+06 -5.156727E+04 -1.884003E+05  1.600303E+06
        10  17 -8.835756E+04 -2.068701E+05  4.410878E+06 -6.787456E+03 -1.123252E+05  1.724871E+06
        10  18 -6.203757E+04 -1.954484E+05  5.595931E+06  3.661292E+04 -3.360558E+04  1.943412E+06
        10  19  6.407175E+04  1.333549E+04  2.138030E+07  1.002171E+04 -1.904012E+05  6.425863E+05
        10  20  5.799828E+04  1.299539E+04  2.242975E+07 -3.104219E+03 -8.717706E+04  6.616703E+05
        10  21  5.713478E+04  1.527316E+04  2.349394E+07 -1.585825E+04  1.694022E+04  7.716549E+05
        10  22  5.715771E+04  4.557360E+04  1.221144E+07  1.203391E+04 -2.283226E+05  1.319314E+06
        10  23  5.497644E+04  4.654105E+04  1.326933E+07 -1.459080E+03 -1.385910E+05  1.391564E+06
        10  24  5.443460E+04  4.655586E+04  1.433364E+07 -1.458017E+04 -4.709051E+04  1.553870E+06
        10  25  4.276306E+04  6.847313E+04  3.018929E+06  1.312570E+04 -2.296251E+05  1.970095E+06
        10  26  3.842318E+04  6.469735E+04  4.071143E+06 -7.343524E+02 -1.531181E+05  2.093462E+06
        10  27  3.215222E+04  5.639840E+04  5.121443E+06 -1.422250E+04 -7.396676E+04  2.306042E+06
        11   1  1.020814E+05  3.264810E+05 -6.122908E+06 -9.934711E+04 -8.482924E+04  2.382260E+06
        11   2  1.771203E+05  3.952552E+05 -4.786972E+06  1.838778E+03 -1.631171E+05  2.160457E+06
        11   3  2.490260E+05  4.567358E+05 -3.454188E+06  1.061555E+05 -2.387604E+05  2.037388E+06
        11   4 -3.260142E+04 -5.547937E+04 -1.757020E+07 -9.991504E+04 -6.899555E+04  1.603362E+06
        11   5  4.408795E+04 -5.860695E+03 -1.623675E+07 -6.672103E+02 -1.510080E+05  1.437215E+06
        11   6  1.140735E+05  3.289385E+04 -1.491477E+07  1.017114E+05 -2.312517E+05  1.370647E+06
